"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 19-Jan-2024","1W AGO 
 12-Jan-2024","1M AGO 
 21-Dec-2023","1Y AGO 
 20-Jan-2023","52W H 
","52W L 
","365 D % CHNG 
 19-Jan-2023","30 D % CHNG 
 20-Dec-2023"
"NIFTY 50","21,571.80","-0.23","21,706.15","21,720.30","21,541.80","21,622.40","21,622.40","21,894.55","21,255.05","18,027.65","22,124.15","16,828.35","19.41","2.23"
"NIFTY NEXT 50","54,727.20","0.03","54,970.90","55,038.55","54,459.35","54,709.00","54,709.00","54,742.90","51,520.65","41,861.45","55,056.75","36,850.75","30.20","7.60"
"NIFTY 100","21,880.50","-0.16","22,003.95","22,019.60","21,854.55","21,916.00","21,916.00","22,159.25","21,402.15","18,169.45","22,367.30","16,696.25","20.12","3.05"
"NIFTY 200","11,855.95","-0.05","11,916.75","11,927.05","11,842.80","11,862.30","11,862.30","11,960.85","11,507.65","9,497.80","12,074.80","8,767.55","24.32","3.90"
"NIFTY 500","19,601.90","-0.02","19,698.05","19,718.70","19,582.70","19,606.40","19,606.40","19,745.60","18,941.80","15,347.90","19,923.30","14,177.50","27.15","4.40"
"NIFTY MIDCAP 50","13,473.30","-0.03","13,564.45","13,583.50","13,460.05","13,477.20","13,477.20","13,353.80","12,764.85","8,687.15","13,583.50","8,194.60","53.93","7.30"
"NIFTY MIDCAP 100","48,062.80","0.52","48,180.10","48,287.20","47,899.15","47,815.95","47,815.95","47,512.60","44,767.70","31,099.80","48,287.20","29,200.20","52.55","8.61"
"NIFTY SMALLCAP 100","15,518.90","0.20","15,553.65","15,589.35","15,477.70","15,487.45","15,487.45","15,544.65","14,687.95","9,569.10","15,687.10","8,682.00","60.93","7.49"
"INDIA VIX","13.80","-1.17","13.88","14.25","13.10","13.88","13.88","13.10","13.76","13.79","19.39","8.18","-0.59","-3.96"
"NIFTY MIDCAP 150","17,724.70","0.30","17,799.10","17,836.45","17,688.70","17,670.85","17,670.85","17,563.85","16,560.65","11,748.95","17,836.45","11,016.50","49.34","8.25"
"NIFTY SMALLCAP 50","7,249.35","0.06","7,273.35","7,289.45","7,233.05","7,244.65","7,244.65","7,369.65","6,870.50","4,288.65","7,444.65","3,984.65","67.87","7.64"
"NIFTY SMALLCAP 250","14,614.20","0.45","14,622.25","14,662.60","14,581.20","14,548.55","14,548.55","14,552.75","13,652.50","9,344.95","14,676.05","8,492.40","54.82","8.37"
"NIFTY MIDSMALLCAP 400","16,639.20","0.36","16,687.55","16,725.15","16,604.90","16,580.10","16,580.10","16,516.85","15,545.70","10,888.40","16,725.15","10,106.00","51.28","8.29"
"NIFTY500 MULTICAP 50:25:25","13,593.40","0.11","13,647.40","13,667.40","13,580.95","13,578.05","13,578.05","13,632.05","12,991.75","9,969.00","13,749.15","5,531.55","35.49","5.66"
"NIFTY LARGEMIDCAP 250","13,588.85","0.08","13,655.50","13,673.05","13,576.45","13,578.55","13,578.55","13,610.60","12,987.90","10,060.20","13,736.85","5,635.20","34.22","5.64"
"NIFTY MIDCAP SELECT","10,622.00","0.16","10,667.80","10,687.80","10,612.00","10,605.40","10,605.40","10,542.40","10,169.50","6,974.75","10,687.80","5,520.25","50.57","5.84"
"NIFTY TOTAL MARKET","11,028.55","0.01","11,079.55","11,091.20","11,018.30","11,027.65","11,027.65","11,103.15","10,638.50","8,548.80","11,201.70","6,252.10","28.40","4.60"
"NIFTY MICROCAP 250","19,862.20","0.83","19,806.50","19,952.75","19,715.70","19,699.40","19,699.40","19,701.90","18,279.85","11,166.95","19,952.75","5,802.95","75.58","10.06"
"NIFTY BANK","46,058.20","0.78","45,989.25","46,183.70","45,640.90","45,701.15","45,701.15","47,709.80","47,840.15","42,506.80","48,636.45","38,613.15","7.97","-3.68"
"NIFTY AUTO","18,651.10","-0.23","18,752.25","18,786.75","18,592.15","18,694.60","18,694.60","18,715.20","17,537.85","12,691.70","18,865.85","11,901.85","46.47","6.68"
"NIFTY FINANCIAL SERVICES","20,542.05","0.57","20,548.95","20,619.50","20,412.65","20,425.35","20,425.35","21,300.70","21,326.00","18,772.40","21,627.35","17,261.30","9.00","-3.66"
"NIFTY FINANCIAL SERVICES 25/50","22,196.95","0.35","22,256.00","22,276.50","22,095.55","22,125.00","22,125.00","22,649.65","22,380.15","18,058.50","-","-","22.19","-0.72"
"NIFTY FMCG","55,976.65","-1.17","56,632.80","56,650.35","55,933.65","56,640.50","56,640.50","56,485.75","54,803.30","43,899.60","57,966.70","43,550.10","27.78","3.74"
